2026-03-08 11:07:15 | 10.38.159.13 | 34.54.84.110 | TCP | 54 | INTRUSION
2026-03-08 11:07:15 | 10.38.159.13 | 34.54.84.110 | TCP | 102 | INTRUSION
2026-03-08 11:07:15 | 34.54.84.110 | 10.38.159.13 | TCP | 1424 | INTRUSION
2026-03-08 11:07:15 | 10.38.159.13 | 34.54.84.110 | TCP | 54 | INTRUSION
2026-03-08 11:07:15 | 34.54.84.110 | 10.38.159.13 | TCP | 1133 | INTRUSION
2026-03-08 11:07:15 | 10.38.159.13 | 34.54.84.110 | TCP | 54 | INTRUSION
2026-03-08 11:07:15 | 34.54.84.110 | 10.38.159.13 | TCP | 93 | INTRUSION
2026-03-08 11:07:15 | 10.38.159.13 | 34.54.84.110 | TCP | 93 | INTRUSION
2026-03-08 11:07:15 | 34.54.84.110 | 10.38.159.13 | TCP | 54 | INTRUSION
2026-03-08 11:07:15 | 34.54.84.110 | 10.38.159.13 | TCP | 54 | INTRUSION
2026-03-08 11:07:16 | 10.38.159.13 | 34.54.84.110 | TCP | 107 | INTRUSION
2026-03-08 11:07:16 | 10.38.159.13 | 34.54.84.110 | TCP | 294 | INTRUSION
2026-03-08 11:07:16 | 10.38.159.13 | 34.54.84.110 | TCP | 85 | INTRUSION
2026-03-08 11:07:16 | 34.54.84.110 | 10.38.159.13 | TCP | 66 | INTRUSION
2026-03-08 11:07:16 | 34.54.84.110 | 10.38.159.13 | TCP | 66 | INTRUSION
2026-03-08 11:07:16 | 34.54.84.110 | 10.38.159.13 | TCP | 54 | INTRUSION
2026-03-08 11:07:16 | 34.54.84.110 | 10.38.159.13 | TCP | 136 | INTRUSION
2026-03-08 11:07:16 | 10.38.159.13 | 34.54.84.110 | TCP | 93 | INTRUSION
2026-03-08 11:07:17 | 34.54.84.110 | 10.38.159.13 | TCP | 54 | INTRUSION
2026-03-08 11:07:30 | 10.38.159.13 | 10.38.159.221 | UDP | 71 | INTRUSION
2026-03-08 11:07:30 | 10.38.159.13 | 10.38.159.221 | UDP | 71 | INTRUSION
2026-03-08 11:07:30 | 10.38.159.13 | 10.38.159.221 | UDP | 71 | INTRUSION
2026-03-08 11:07:31 | 10.38.159.221 | 10.38.159.13 | UDP | 103 | INTRUSION
2026-03-08 11:07:31 | 10.38.159.221 | 10.38.159.13 | UDP | 99 | INTRUSION
2026-03-08 11:07:31 | 10.38.159.221 | 10.38.159.13 | UDP | 132 | INTRUSION
2026-03-08 11:07:36 | 10.38.159.13 | 34.54.84.110 | TCP | 107 | INTRUSION
2026-03-08 11:07:36 | 10.38.159.13 | 34.54.84.110 | TCP | 781 | INTRUSION
2026-03-08 11:07:36 | 10.38.159.13 | 34.54.84.110 | TCP | 85 | INTRUSION
2026-03-08 11:07:36 | 34.54.84.110 | 10.38.159.13 | TCP | 66 | INTRUSION
2026-03-08 11:07:36 | 34.54.84.110 | 10.38.159.13 | TCP | 66 | INTRUSION
2026-03-08 11:07:36 | 34.54.84.110 | 10.38.159.13 | TCP | 54 | INTRUSION
2026-03-08 11:07:36 | 34.54.84.110 | 10.38.159.13 | TCP | 117 | INTRUSION
2026-03-08 11:07:36 | 34.54.84.110 | 10.38.159.13 | TCP | 1424 | INTRUSION
2026-03-08 11:07:36 | 10.38.159.13 | 34.54.84.110 | TCP | 54 | INTRUSION
2026-03-08 11:07:36 | 34.54.84.110 | 10.38.159.13 | TCP | 1424 | INTRUSION
2026-03-08 11:07:36 | 34.54.84.110 | 10.38.159.13 | TCP | 1424 | INTRUSION
2026-03-08 11:07:36 | 10.38.159.13 | 34.54.84.110 | TCP | 54 | INTRUSION
2026-03-08 11:07:36 | 34.54.84.110 | 10.38.159.13 | TCP | 1424 | INTRUSION
2026-03-08 11:07:36 | 34.54.84.110 | 10.38.159.13 | TCP | 1424 | INTRUSION
